"id","title","author","year"
1263,"A Primeiro Mestre","João Almeida",2017
1264,"A Sensasional Filosofo","Fabrício Tavares",2020
1265,"O Último Mistério","Diogo Sampaio",2011
1266,"O Perdido Caminho","Eliane Freitas",2014
1267,"O Segundo Desafio","Elias Braga",2016
1268,"O Segundo Jogador","Lauro Pires",2022
1269,"A Último Ditador","Amanda Barros",2018
1270,"A Novo Segredo","Vitória Freitas",2018
1271,"A Primeiro Destino","Cristina Borges",2011
1272,"O Quarto Tesouro","Tatiana Monteiro",2011
1273,"O Sensasional Sonho","Felipe Borges",2016
1274,"O Novo Filosofo","Tereza Tavares",2020
1275,"A Perdido Mestre","Beatriz Ramalho",2022
1276,"O Terceiro Desafio","Rebeca Rodrigues",2021
1277,"A Sensasional Caminho","Evelyn Teixeira",2015
1278,"A Segundo Amor","Júlia Marques",2015
1279,"A Velho Sonho","Lauro Correia",2010
1280,"A Pequeno Tesouro","Bruno Carvalho",2016
1281,"O Segundo Tesouro","João Teixeira",2013
1282,"A Grande Desafio","Bruno Correia",2011
1283,"A Velho Médico","Elaine Cavalcanti",2021
1284,"A Perdido Sonho","Vitória Correia",2022
1285,"A Primeiro Segredo","Ivana Moura",2020
1286,"O Sensasional Imperador","Sérgio Andrade",2012
1287,"O Novo Jogador","Ivan Pinheiro",2015
1288,"A Quarto Segredo","Isabela Campos",2020
1289,"A Velho Filosofo","Mariana Cavalcanti",2013
1290,"A Quarto Filosofo","Simone Lima",2018
1291,"A Quarto Destino","Tereza Martins",2019
1292,"O Pequeno Segredo","Patrícia Cardoso",2019
1293,"A Novo Médico","Guilherme Leal",2013
1294,"O Encontrado Sonho","Guilherme Teixeira",2010
1295,"O Último Amor","Maria Fonseca",2018
1296,"O Perdido Caminho","Sheila Ferreira",2021
1297,"O Segundo Jogador","Léo Teixeira",2019
1298,"A Pequeno Mistério","Nathalia Gomes",2022
1299,"O Velho Segredo","Valéria Martins",2019
1300,"O Velho Segredo","Carolina Cavalcanti",2021
1301,"A Primeiro Jogador","Vitor Rocha",2011
1302,"A Terceiro Imperador","Débora Tavares",2016
1303,"A Quarto Mansao","Felipe Tavares",2021
1304,"A Segundo Filosofo","Ricardo Leal",2012
1305,"A Sensasional Imperador","Renata Melo",2021
1306,"A Pequeno Amor","Rodrigo Lopes",2016
1307,"O Quarto Casa","Isabela Costa",2014
1308,"A Pequeno Desafio","Maitê Barros",2015
1309,"O Sensasional Filosofo","Helena Vieira",2016
1310,"A Primeiro Destino","Vitória Correia",2019
1311,"A Novo Amor","Vanessa Vieira",2023
1312,"A Encontrado Segredo","Lauro Braga",2016
1313,"O Grande Caminho","Cássio Lima",2017
1314,"O Sensasional Sonho","Mariana Monteiro",2011
1315,"A Último Filosofo","Fernanda Machado",2019
1316,"A Perdido Casa","Juliano Gomes",2020
1317,"A Quarto Casa","Gustavo Souza",2014
1318,"O Velho Destino","Elias Andrade",2021
1319,"O Segundo Mansao","Mariana Andrade",2014
1320,"A Encontrado Caminho","Gabriela Freitas",2021
1321,"O Perdido Tesouro","Samuel Andrade",2017
1322,"A Perdido Filosofo","Diogo Araújo",2016
1323,"O Segundo Caminho","Simone Melo",2010
1324,"A Segundo Desafio","Carlos Pires",2011
1325,"A Segundo Desafio","Isadora Rodrigues",2018
1326,"O Velho Tesouro","Elias Vieira",2015
1327,"O Velho Médico","Isadora Tavares",2022
1328,"A Velho Tesouro","Helena Costa",2010
1329,"O Segundo Imperador","Valdir Coutinho",2012
1330,"O Segundo Jogador","Pedro Lima",2011
1331,"O Velho Imperador","Alice Machado",2014
1332,"A Segundo Médico","Vitória Nunes",2011
1333,"A Grande Tesouro","Paulo Cardoso",2014
1334,"O Velho Mestre","Flávio Mendes",2014
1335,"A Novo Casa","Débora Tavares",2021
1336,"A Grande Mistério","Antônio Vieira",2013
1337,"A Velho Jogador","Helena Dias",2010
1338,"A Velho Caminho","Evelyn Lima",2013
1339,"O Último Filosofo","Paulo Rocha",2019
1340,"O Terceiro Segredo","Raul Campos",2014
1341,"O Grande Jogador","Isadora Andrade",2010
1342,"O Segundo Mansao","Isadora Freitas",2014
1343,"A Sensasional Mansao","Ana Ferreira",2019
1344,"A Grande Casa","Vitória Pires",2016
1345,"O Sensasional Segredo","Mônica Gomes",2011
1346,"A Grande Tesouro","Débora Correia",2012
1347,"O Primeiro Mansao","Lucas Ramalho",2019
1348,"A Primeiro Imperador","Ana Medeiros",2018
1349,"A Último Sonho","Carlos Medeiros",2020
1350,"A Perdido Mansao","Sheila Silva",2012
1351,"O Segundo Segredo","Raul Rodrigues",2023
1352,"A Terceiro Destino","Camila Medeiros",2019
1353,"A Grande Mestre","Ivana Araújo",2014
1354,"A Sensasional Destino","Maria Gomes",2015
1355,"A Novo Caminho","Vitor Oliveira",2011
1356,"O Último Desafio","Vanessa Barros",2020
1357,"O Terceiro Médico","Luiza Moura",2015
1358,"O Perdido Mansao","Thiago Machado",2013
1359,"O Primeiro Médico","Erick Medeiros",2011
1360,"O Perdido Casa","Gustavo Tavares",2021
1361,"O Novo Segredo","Gabriel Silva",2018
1362,"A Quarto Caminho","Alice Correia",2016
1363,"O Pequeno Casa","Helena Neves",2021
1364,"O Segundo Caminho","Amanda Dias",2011
1365,"O Sensasional Mansao","Juliano Pires",2015
1366,"A Último Segredo","Carolina Pires",2020
1367,"O Quarto Ditador","Pedro Souza",2013
1368,"O Novo Imperador","Thiago Neves",2021
1369,"O Encontrado Mansao","Gustavo Moura",2013
1370,"O Novo Caminho","Giovanna Ferreira",2015
1371,"O Novo Amor","Fabrício Moura",2018
1372,"O Terceiro Médico","Erick Andrade",2012
1373,"O Grande Médico","Maria Monteiro",2018
1374,"A Encontrado Jogador","Priscila Coutinho",2015
1375,"A Segundo Amor","Giovanna Melo",2017
1376,"O Encontrado Filosofo","Nicole Rodrigues",2012
1377,"O Velho Mansao","Maitê Silva",2020
1378,"A Velho Desafio","Marcela Rodrigues",2013
1379,"A Sensasional Mestre","Yasmin Almeida",2015
1380,"A Segundo Tesouro","Eduardo Rodrigues",2016
1381,"O Sensasional Mestre","Carolina Leal",2021
1382,"O Terceiro Filosofo","Camila Carvalho",2017
1383,"O Grande Mestre","Lívia Melo",2010
1384,"O Último Imperador","Camila Sampaio",2010
1385,"A Velho Sonho","Leonardo Pereira",2018
1386,"O Grande Imperador","Raul Oliveira",2023
1387,"O Segundo Amor","Pâmela Machado",2017
1388,"O Grande Tesouro","Patrícia Medeiros",2016
1389,"O Primeiro Segredo","Thiago Araújo",2019
1390,"A Novo Sonho","Alice Lopes",2021
1391,"A Grande Mistério","Guilherme Barros",2015
1392,"A Grande Destino","Maurício Melo",2022
1393,"O Segundo Caminho","Isaac Gomes",2023
1394,"A Novo Amor","Elaine Medeiros",2012
1395,"A Grande Jogador","Vanessa Melo",2014
1396,"A Perdido Ditador","Gabriel Campos",2022
1397,"A Quarto Mestre","Alice Costa",2013
1398,"O Terceiro Caminho","Ivana Marques",2021
1399,"A Segundo Jogador","Gustavo Pires",2017
1400,"A Primeiro Amor","Marcela Araújo",2014
1401,"A Último Sonho","Lauro Rocha",2014
1402,"O Primeiro Filosofo","Pedro Oliveira",2022
1403,"O Sensasional Tesouro","Lucas Pires",2014
1404,"O Quarto Desafio","Fabrício Marques",2023
1405,"A Quarto Ditador","Lívia Castro",2017
1406,"A Pequeno Filosofo","Valdir Neves",2022
1407,"O Pequeno Casa","Leonardo Vieira",2013
1408,"A Novo Mansao","Sérgio Pinheiro",2015
1409,"O Grande Tesouro","Erick Braga",2013
1410,"A Velho Ditador","Samuel Cardoso",2019
1411,"A Sensasional Mansao","Adriana Sampaio",2015
1412,"O Último Amor","Isadora Braga",2013
1413,"A Segundo Jogador","Beatriz Teixeira",2023
1414,"O Segundo Sonho","Leonardo Pires",2015
1415,"O Velho Imperador","Giovanna Moura",2023
1416,"O Segundo Desafio","Fabrício Santos",2021
1417,"A Último Ditador","Antônio Pires",2011
1418,"A Quarto Tesouro","Vitor Leal",2021
1419,"A Perdido Sonho","Maitê Ribeiro",2017
1420,"O Quarto Casa","Roberta Marques",2013
1421,"A Perdido Desafio","Viviane Sampaio",2017
1422,"A Primeiro Imperador","Gustavo Machado",2019
1423,"O Sensasional Jogador","Otávio Medeiros",2013
1424,"O Primeiro Médico","Giovanna Monteiro",2022
1425,"A Velho Amor","Geraldo Vieira",2018
1426,"A Velho Imperador","Ivan Pires",2017
1427,"O Grande Mistério","Ivan Oliveira",2021
1428,"O Segundo Tesouro","Mônica Nunes",2013
1429,"A Velho Amor","Diego Cardoso",2012
1430,"A Segundo Casa","Stella Marques",2022
1431,"A Grande Mansao","Roberta Melo",2022
1432,"O Terceiro Filosofo","Marcela Pires",2017
1433,"O Primeiro Imperador","Geraldo Andrade",2022
1434,"A Segundo Mansao","Sérgio Cavalcanti",2014
1435,"O Terceiro Casa","Camila Vieira",2023
1436,"A Sensasional Segredo","Ivana Martins",2018
1437,"A Grande Segredo","Ricardo Ramalho",2018
1438,"O Pequeno Amor","Helena Araújo",2018
1439,"O Segundo Ditador","Lauro Vieira",2015
1440,"O Último Mestre","Daniel Neves",2019
1441,"A Velho Tesouro","Alice Silva",2010
1442,"O Perdido Ditador","Ivana Vieira",2023
1443,"O Primeiro Ditador","Evelyn Fonseca",2013
1444,"O Primeiro Médico","Beatriz Braga",2019
1445,"A Encontrado Amor","Francisco Martins",2022
1446,"O Primeiro Filosofo","Vitor Campos",2014
1447,"A Perdido Mistério","Gustavo Lopes",2014
1448,"O Quarto Mansao","Gustavo Pires",2010
1449,"A Terceiro Tesouro","Rafael Oliveira",2014
1450,"O Segundo Desafio","Diogo Oliveira",2015
1451,"O Quarto Amor","Bruno Costa",2019
1452,"O Encontrado Imperador","Luiza Mendes",2016
1453,"O Quarto Imperador","Samuel Rocha",2014
1454,"O Primeiro Amor","Cássio Moura",2021
1455,"O Perdido Mistério","Isadora Braga",2019
1456,"O Segundo Sonho","Sônia Neves",2014
1457,"O Primeiro Médico","Eliane Castro",2013
1458,"O Novo Sonho","Sérgio Cardoso",2020
1459,"O Quarto Médico","Thiago Silva",2010
1460,"A Velho Jogador","Vanessa Braga",2017
1461,"A Velho Médico","Débora Tavares",2021
1462,"A Encontrado Ditador","Débora Santos",2022
1463,"O Primeiro Mistério","Samuel Azevedo",2012
1464,"O Sensasional Mansao","Nicole Araújo",2015
1465,"A Perdido Médico","Bianca Pinheiro",2017
1466,"A Velho Caminho","Mônica Fonseca",2019
1467,"A Pequeno Caminho","Samuel Mendes",2017
1468,"O Quarto Jogador","Larissa Teixeira",2018
1469,"A Velho Segredo","Isaac Ramalho",2014
1470,"O Velho Mansao","Roberta Costa",2016
1471,"O Perdido Destino","Sandra Azevedo",2014
1472,"O Sensasional Filosofo","Nicole Gomes",2020
1473,"A Quarto Mansao","Erick Fonseca",2022
1474,"A Encontrado Ditador","Nelson Lima",2011
1475,"O Quarto Filosofo","Rafaela Leal",2011
1476,"O Segundo Imperador","Iris Cavalcanti",2020
1477,"O Último Ditador","Alice Coutinho",2018
1478,"A Novo Filosofo","Isabela Martins",2015
1479,"A Quarto Sonho","Adriana Castro",2019
1480,"A Pequeno Filosofo","Ricardo Pires",2020
1481,"A Quarto Casa","Valdir Vieira",2013
1482,"O Sensasional Tesouro","Lívia Monteiro",2016
1483,"O Terceiro Tesouro","Beatriz Mendes",2018
1484,"A Velho Destino","Rosana Rocha",2019
1485,"A Último Mestre","Paulo Melo",2023
1486,"O Velho Ditador","Nicole Neves",2011
1487,"A Segundo Amor","Samuel Fonseca",2013
1488,"A Quarto Desafio","Vitor Carvalho",2022
1489,"O Pequeno Médico","Rafaela Freitas",2020
1490,"O Segundo Mestre","Vitor Ramalho",2012
1491,"A Grande Filosofo","Vitor Azevedo",2012
1492,"O Último Jogador","Isadora Pires",2016
1493,"O Primeiro Desafio","Giovanna Pires",2023
1494,"O Segundo Mistério","Raul Correia",2019
1495,"A Primeiro Destino","Vanessa Ribeiro",2020
1496,"A Grande Amor","Cássio Monteiro",2017
1497,"O Novo Médico","Vitor Ramalho",2021
1498,"A Novo Desafio","Marcelo Gomes",2018
1499,"A Último Mestre","Maria Andrade",2018
1500,"O Grande Destino","Adriana Medeiros",2011
1501,"O Pequeno Médico","Luiza Araújo",2020
1502,"A Grande Filosofo","Paula Martins",2022
1503,"O Último Tesouro","Mônica Melo",2021
1504,"O Último Sonho","Gabriela Silva",2012
1505,"A Novo Mestre","Maria Campos",2014
1506,"A Novo Imperador","Sônia Rodrigues",2017
1507,"O Último Imperador","Raul Marques",2019
1508,"O Primeiro Ditador","Raul Freitas",2011
1509,"O Novo Jogador","Marcos Pereira",2016
1510,"A Pequeno Caminho","Valdir Azevedo",2020
1511,"A Primeiro Ditador","Ana Nunes",2019
1512,"O Perdido Caminho","Larissa Silva",2018
1513,"O Terceiro Desafio","Carlos Araújo",2023
1514,"A Encontrado Mansao","Júlia Pires",2021
1515,"A Terceiro Mansao","Pâmela Nunes",2018
1516,"O Sensasional Amor","Bianca Mendes",2013
1517,"A Primeiro Sonho","Geraldo Almeida",2014
1518,"O Quarto Destino","Tatiana Rocha",2018
1519,"A Grande Desafio","Beatriz Castro",2017
1520,"A Último Segredo","Yasmin Castro",2013
1521,"O Sensasional Mansao","Evelyn Neves",2021
1522,"O Novo Amor","Fabrício Freitas",2021
1523,"A Último Ditador","Rosana Lima",2014
1524,"O Perdido Casa","Juliano Sampaio",2015
1525,"O Segundo Imperador","Lívia Melo",2014
1526,"A Velho Segredo","Isadora Ramalho",2022
1527,"A Perdido Imperador","Luiza Medeiros",2017
1528,"O Velho Tesouro","Enzo Pires",2013
1529,"O Quarto Imperador","Ivana Ribeiro",2018
1530,"A Último Filosofo","Lucas Sampaio",2021
1531,"O Último Segredo","Yasmin Lopes",2022
1532,"A Segundo Mestre","Isaac Lima",2012
1533,"O Terceiro Desafio","Sérgio Souza",2023
1534,"O Terceiro Ditador","Léo Azevedo",2020
1535,"A Terceiro Sonho","Juliano Nunes",2021
1536,"A Segundo Sonho","Simone Ramalho",2018
1537,"A Encontrado Mansao","Daniel Almeida",2023
1538,"A Sensasional Mistério","Diego Moura",2022
1539,"A Quarto Imperador","Alice Borges",2019
1540,"O Primeiro Filosofo","Larissa Vieira",2010
1541,"A Segundo Casa","Fabrício Sampaio",2022
1542,"A Grande Mansao","Patrícia Carvalho",2016
1543,"A Segundo Médico","Valdir Carvalho",2013
1544,"A Terceiro Mistério","Ivan Castro",2011
1545,"O Grande Jogador","Rodrigo Rodrigues",2020
1546,"A Encontrado Segredo","Júlia Lopes",2016
1547,"A Segundo Jogador","Francisco Fonseca",2016
1548,"O Perdido Imperador","Francisco Ribeiro",2010
1549,"A Perdido Segredo","André Teixeira",2014
1550,"A Sensasional Jogador","Stella Lima",2023
1551,"O Perdido Médico","Rafael Andrade",2012
1552,"A Grande Mestre","Maurício Machado",2019
1553,"O Último Segredo","Aline Rocha",2023
1554,"A Primeiro Segredo","Marcos Borges",2020
1555,"A Último Tesouro","Natália Costa",2021
1556,"A Pequeno Casa","Pedro Souza",2017
1557,"A Grande Caminho","Simone Cavalcanti",2017
1558,"A Segundo Mansao","Fabrício Neves",2020
1559,"O Velho Casa","Luiza Almeida",2022
1560,"A Primeiro Casa","Iris Barros",2022
1561,"A Velho Mistério","Francisco Braga",2020
1562,"A Quarto Imperador","Nelson Coutinho",2011
1563,"A Perdido Caminho","Hugo Andrade",2017
1564,"A Sensasional Sonho","Luiza Nunes",2013
1565,"A Terceiro Segredo","Vitória Lopes",2020
1566,"O Velho Casa","Stella Almeida",2010
1567,"A Novo Médico","Bruno Melo",2018
1568,"O Quarto Casa","José Dias",2018
1569,"O Grande Ditador","Patrícia Machado",2011
1570,"O Encontrado Ditador","Paulo Azevedo",2017
1571,"A Terceiro Sonho","Isabela Barros",2016
1572,"A Velho Caminho","Luiza Rocha",2013
1573,"A Terceiro Médico","Iris Oliveira",2020
1574,"O Sensasional Segredo","Daniel Rodrigues",2015
1575,"O Terceiro Imperador","Sônia Correia",2019
1576,"A Velho Jogador","Stella Vieira",2020
1577,"O Terceiro Mistério","Samuel Medeiros",2010
1578,"O Quarto Filosofo","Erick Gomes",2011
1579,"A Último Sonho","Fábio Marques",2014
1580,"O Segundo Desafio","Rebeca Fonseca",2018
1581,"A Terceiro Filosofo","João Tavares",2012
1582,"O Primeiro Desafio","Fábio Almeida",2021
1583,"O Quarto Mestre","Gustavo Vieira",2018
1584,"A Terceiro Caminho","Marcelo Machado",2020
1585,"O Grande Caminho","Marcos Leal",2010
1586,"A Sensasional Amor","Antônio Rodrigues",2013
1587,"O Pequeno Imperador","Isaac Santos",2021
1588,"A Primeiro Imperador","Lívia Lima",2010
1589,"O Segundo Desafio","Bianca Campos",2017
1590,"A Último Amor","Bruno Pinheiro",2011
1591,"A Velho Casa","Maurício Ramalho",2023
1592,"A Quarto Médico","André Dias",2011
1593,"O Quarto Jogador","Igor Silva",2022
1594,"A Sensasional Mestre","Erick Correia",2020
1595,"A Quarto Mansao","Igor Cavalcanti",2010
1596,"A Pequeno Filosofo","Diego Fonseca",2019
1597,"A Sensasional Tesouro","Viviane Braga",2014
1598,"A Pequeno Amor","Marcos Araújo",2016
1599,"A Novo Desafio","Sônia Andrade",2022
1600,"A Último Segredo","Maitê Lima",2019
1601,"O Sensasional Jogador","Elias Correia",2023
1602,"A Pequeno Filosofo","João Santos",2022
1603,"A Quarto Ditador","Valéria Araújo",2017
1604,"A Primeiro Jogador","Flávio Cardoso",2014
1605,"A Primeiro Destino","Roberta Coutinho",2017
1606,"O Grande Segredo","Amanda Fonseca",2019
1607,"A Encontrado Casa","Bruno Costa",2023
1608,"A Velho Tesouro","Léo Lopes",2022
1609,"A Novo Destino","Beatriz Azevedo",2014
1610,"O Encontrado Jogador","Evelyn Correia",2014
1611,"A Terceiro Médico","Fernanda Pinheiro",2018
1612,"O Velho Ditador","Alice Almeida",2017
1613,"A Grande Filosofo","Débora Borges",2012
1614,"A Velho Mistério","Bianca Souza",2010
1615,"A Perdido Sonho","Guilherme Monteiro",2011
1616,"A Primeiro Tesouro","Isaac Nunes",2017
1617,"O Pequeno Jogador","Júlia Pereira",2015
1618,"A Primeiro Caminho","Isadora Campos",2022
1619,"A Sensasional Sonho","João Pereira",2016
1620,"O Segundo Jogador","Carlos Silva",2016
1621,"A Primeiro Jogador","Júlia Machado",2013
1622,"O Primeiro Médico","Nathalia Oliveira",2013
1623,"O Último Ditador","Fabrício Pires",2021
1624,"A Velho Segredo","Eliane Moura",2016
1625,"O Primeiro Ditador","Eliane Campos",2016
1626,"O Encontrado Médico","Lauro Nunes",2014
1627,"O Sensasional Ditador","Bruno Andrade",2023
1628,"O Grande Mistério","Pâmela Neves",2023
1629,"O Terceiro Segredo","Clarice Martins",2019
1630,"A Quarto Ditador","Bianca Teixeira",2018
1631,"O Novo Médico","Viviane Machado",2017
1632,"O Segundo Destino","Adriana Carvalho",2018
1633,"O Encontrado Segredo","Léo Neves",2013
1634,"O Perdido Filosofo","Guilherme Dias",2016
1635,"A Segundo Caminho","Rafaela Ramalho",2011
1636,"A Segundo Ditador","Maitê Cavalcanti",2014
1637,"O Primeiro Segredo","Pedro Dias",2019
1638,"A Velho Mistério","Sabrina Cavalcanti",2012
1639,"A Grande Mestre","Paulo Oliveira",2022
1640,"O Perdido Desafio","Valdir Mendes",2011
1641,"O Primeiro Amor","Diego Cavalcanti",2016
1642,"A Segundo Ditador","Ricardo Moura",2022
1643,"A Perdido Jogador","Adriana Castro",2011
1644,"O Segundo Mestre","Thiago Melo",2023
1645,"A Novo Mestre","João Dias",2021
1646,"O Perdido Mansao","Paula Gomes",2017
1647,"O Primeiro Médico","Elaine Monteiro",2022
1648,"A Terceiro Mansao","Rosana Ramalho",2013
1649,"A Sensasional Ditador","Antônio Machado",2012
1650,"O Novo Jogador","Gabriela Rodrigues",2021
1651,"O Pequeno Ditador","Rafael Dias",2021
1652,"O Primeiro Destino","Valdir Araújo",2013
1653,"A Segundo Sonho","Juliano Azevedo",2012
1654,"O Segundo Amor","Mariana Ferreira",2012
1655,"O Perdido Mansao","Juliano Ramalho",2019
1656,"A Novo Jogador","Rafael Almeida",2020
1657,"O Sensasional Sonho","Bruno Lima",2017
1658,"O Quarto Segredo","Erick Andrade",2019
1659,"O Terceiro Mistério","Francisco Rodrigues",2017
1660,"O Sensasional Jogador","Ivana Dias",2022
1661,"A Quarto Tesouro","Débora Pires",2010
1662,"O Velho Caminho","Giovanna Silva",2011
1663,"A Encontrado Médico","Sabrina Andrade",2010
1664,"A Primeiro Segredo","Renata Costa",2021
1665,"A Terceiro Mistério","Enzo Martins",2013
1666,"A Pequeno Mansao","Igor Pires",2016
1667,"A Quarto Destino","Júlia Cavalcanti",2021
1668,"A Quarto Ditador","Thiago Silva",2016
1669,"O Velho Filosofo","Cássio Campos",2017
1670,"A Novo Jogador","Erick Lima",2017
1671,"O Último Destino","Elias Gomes",2023
1672,"O Pequeno Médico","Elias Cardoso",2020
1673,"A Terceiro Ditador","Beatriz Ferreira",2023
1674,"A Segundo Mestre","Mônica Cavalcanti",2017
1675,"A Primeiro Imperador","Sabrina Melo",2014
1676,"O Último Tesouro","Ivana Cardoso",2020
1677,"A Perdido Desafio","Rafael Lopes",2019
1678,"O Primeiro Segredo","Iris Gomes",2020
1679,"A Velho Filosofo","Paulo Ribeiro",2015
1680,"A Quarto Médico","Camila Borges",2015
1681,"O Último Mansao","João Rocha",2011
1682,"A Grande Amor","Júlia Silva",2016
1683,"O Último Caminho","Ana Cardoso",2017
1684,"A Segundo Sonho","Gabriela Ferreira",2021
1685,"O Grande Médico","Eliane Leal",2022
1686,"A Pequeno Casa","Cristina Machado",2022
1687,"O Segundo Desafio","Ivan Freitas",2014
1688,"A Pequeno Jogador","Natália Vieira",2020
1689,"O Segundo Sonho","Gustavo Mendes",2019
1690,"A Grande Imperador","Fábio Rocha",2010
1691,"O Segundo Mansao","Bianca Mendes",2010
1692,"A Segundo Casa","Maitê Moura",2010
1693,"O Sensasional Destino","Flávio Marques",2011
1694,"O Novo Destino","Alice Braga",2010
1695,"O Primeiro Caminho","Renata Azevedo",2010
1696,"O Novo Casa","Valéria Andrade",2013
1697,"O Perdido Médico","Valéria Neves",2012
1698,"A Primeiro Destino","Valéria Campos",2018
1699,"O Pequeno Ditador","João Pinheiro",2021
1700,"A Grande Médico","Rafaela Leal",2012
1701,"O Velho Mansao","Rafaela Freitas",2019
1702,"O Velho Mistério","Igor Souza",2019
1703,"A Segundo Sonho","Maria Campos",2014
1704,"A Novo Médico","Igor Mendes",2010
1705,"A Perdido Ditador","Simone Vieira",2013
1706,"A Último Mestre","Vanessa Leal",2016
1707,"O Encontrado Casa","Isadora Lima",2011
1708,"O Velho Sonho","Leonardo Neves",2010
1709,"O Quarto Imperador","Beatriz Freitas",2023
1710,"O Último Sonho","Valdir Fonseca",2013
1711,"A Quarto Mansao","Aline Castro",2011
1712,"O Novo Médico","Paulo Andrade",2012
1713,"O Pequeno Jogador","André Rodrigues",2018
1714,"A Grande Destino","Vanessa Silva",2018
1715,"A Sensasional Tesouro","Sérgio Pinheiro",2014
1716,"O Perdido Jogador","Elaine Braga",2018
1717,"A Sensasional Caminho","Tatiana Pereira",2020
1718,"O Pequeno Imperador","Cássio Medeiros",2013
1719,"O Perdido Filosofo","Ricardo Azevedo",2022
1720,"A Sensasional Casa","Sandra Ribeiro",2010
1721,"O Primeiro Segredo","Fernanda Almeida",2016
1722,"A Quarto Mansao","Ivana Dias",2019
1723,"O Encontrado Casa","Camila Gomes",2015
1724,"O Perdido Imperador","Geraldo Ribeiro",2015
1725,"O Último Segredo","Eduardo Martins",2016
1726,"A Pequeno Jogador","Felipe Cavalcanti",2010
1727,"O Terceiro Ditador","Flávio Azevedo",2011
1728,"O Velho Mestre","Sheila Campos",2013
1729,"O Encontrado Ditador","Aline Carvalho",2011
1730,"O Novo Filosofo","Stella Pires",2011
1731,"O Perdido Casa","Rebeca Cardoso",2015
1732,"A Velho Filosofo","Iris Rocha",2015
1733,"O Pequeno Mansao","Leonardo Costa",2016
1734,"A Sensasional Ditador","Giovanna Nunes",2021
1735,"O Sensasional Filosofo","Antônio Melo",2022
1736,"O Encontrado Casa","Vanessa Souza",2019
1737,"O Terceiro Imperador","Sônia Pires",2021
1738,"A Perdido Tesouro","Davi Oliveira",2020
1739,"A Sensasional Tesouro","José Rodrigues",2016
1740,"A Terceiro Tesouro","Juliano Fonseca",2011
1741,"O Velho Destino","Maurício Lopes",2015
1742,"A Pequeno Casa","Bianca Cardoso",2018
1743,"O Grande Mestre","Gabriel Barros",2015
1744,"A Grande Imperador","Fernanda Mendes",2011
1745,"A Segundo Filosofo","Camila Fonseca",2019
1746,"O Segundo Segredo","Alice Leal",2013
1747,"A Sensasional Sonho","Nicole Rodrigues",2012
1748,"O Encontrado Tesouro","Isaac Ramalho",2020
1749,"A Perdido Destino","Elias Souza",2011
1750,"O Velho Destino","Paula Pinheiro",2019
1751,"A Quarto Sonho","Júlia Ferreira",2020
1752,"O Novo Mansao","Yasmin Lima",2016
1753,"A Velho Mistério","Carlos Tavares",2013
1754,"A Sensasional Mansao","Stella Correia",2013
1755,"O Perdido Filosofo","Natália Pires",2013
1756,"A Velho Mistério","João Rocha",2014
1757,"A Segundo Médico","Evelyn Mendes",2014
1758,"A Sensasional Filosofo","Isadora Dias",2018
1759,"O Velho Sonho","Isaac Correia",2021
1760,"O Encontrado Sonho","Priscila Sampaio",2011
1761,"A Novo Desafio","Helena Batista",2023
1762,"O Novo Amor","Mônica Tavares",2010
1763,"O Grande Destino","Evelyn Machado",2022
1764,"O Último Mestre","Samuel Cardoso",2010
1765,"O Último Casa","Maitê Marques",2015
1766,"O Segundo Mestre","Isaac Carvalho",2017
1767,"A Velho Amor","Maria Mendes",2019
1768,"O Primeiro Tesouro","Iris Pinheiro",2016
1769,"A Novo Desafio","Priscila Moura",2014
1770,"O Terceiro Ditador","Pedro Nunes",2015
1771,"O Último Destino","Sheila Barros",2023
1772,"O Velho Destino","Rafael Lima",2020
1773,"O Velho Caminho","Hugo Rocha",2022
1774,"O Último Filosofo","Mônica Correia",2016
1775,"A Segundo Mansao","Bianca Almeida",2020
1776,"O Encontrado Jogador","Amanda Rodrigues",2010
1777,"A Primeiro Destino","Pâmela Ramalho",2019
1778,"O Pequeno Médico","Elaine Araújo",2012
1779,"O Segundo Amor","Simone Gomes",2013
1780,"A Segundo Mistério","Marcelo Moura",2016
1781,"O Novo Jogador","Raul Sampaio",2019
1782,"A Novo Mestre","Yasmin Souza",2019
1783,"A Terceiro Médico","Ricardo Tavares",2021
1784,"A Quarto Jogador","Nelson Pinheiro",2013
1785,"O Segundo Segredo","Carlos Leal",2018
1786,"A Pequeno Desafio","Vitória Costa",2014
1787,"O Primeiro Caminho","Sabrina Gomes",2017
1788,"O Sensasional Sonho","Geraldo Nunes",2011
1789,"A Pequeno Mistério","Gabriela Marques",2012
1790,"A Quarto Imperador","Helena Souza",2011
1791,"O Velho Mestre","Pedro Cardoso",2020
1792,"A Novo Desafio","Geraldo Fonseca",2011
1793,"A Segundo Caminho","Camila Pires",2019
1794,"A Velho Amor","Marcela Batista",2018
1795,"O Último Casa","Renata Ramalho",2013
1796,"O Último Mansao","Carlos Machado",2011
1797,"A Terceiro Destino","Gabriel Fonseca",2015
1798,"O Novo Destino","Viviane Rocha",2020
1799,"O Terceiro Jogador","Nelson Neves",2019
1800,"O Terceiro Médico","Vanessa Leal",2022
1801,"O Grande Mestre","Carolina Cardoso",2014
1802,"A Encontrado Mestre","Vanessa Tavares",2013
1803,"O Encontrado Filosofo","Hugo Rodrigues",2020
1804,"O Quarto Ditador","Thiago Lima",2011
